metric,value
Tổng số ảnh trong thư mục,24
Số ảnh theo yêu cầu,25
YOLO detect được,21
YOLO không detect được,3
YOLO Detection Rate,87.50%
YOLO Not Detected Rate,12.50%
YOLO Confidence TB trên ảnh detect,89.34%
Thời gian YOLO TB,153.909 ms
Từ detect có trong vocabulary,21
Vocabulary Coverage,87.50%
KNN có gợi ý,21
KNN Success Rate trên tổng ảnh,87.50%
KNN Success Rate trên ảnh YOLO detect,100.00%
KNN Category Precision TB,55.56%
Thời gian KNN TB,10.344 ms
KMeans phân cụm được,21
KMeans Success Rate trên tổng ảnh,87.50%
KMeans Success Rate trên ảnh YOLO detect,100.00%
KMeans Cluster Purity TB theo từ,100.00%
Thời gian KMeans TB,3.683 ms
